,Product_Names,Product_Prices,Sale_Products
0,[ลูกค้าใหม่ 1 บาท] 22cm หม้อไฟฟ้าเอนกประสงค์ ทอด อุ่น ตุ๋น ต้ม นึ่ง หม้อเทฟล่อน หม้อสุกี้ ชาบู,฿147,ขายแล้ว 2.8พัน ชิ้น
1,หูฟังบลูทูธไร้สาย สเตอริโอ เสียงชัด HD Voice TWS Wireless bluetooth V5.1 headset Earphone Earbud รุ่น:M10、M10Bแถมกระเป๋า,฿135,ขายแล้ว 15.1พัน ชิ้น
2,[ลูกค้าใหม่ 1฿/ใส่โค้ด 7BETS4 ลด 30฿] ชุดถังปั่นสแตนเลส + ไม้ถูพื้น Spin Mop พร้อมผ้าม๊อบไมโครไฟเบอร์ สปินม็อบ ถังถูพื้น,฿59,ขายแล้ว 3.9พัน ชิ้น
3,เก้าอี้ เก้าอี้สนาม เก้าอี้พับ เก้าอี้ปิคนิค พับได้ เก้าอี้สนามพับ เก้าอี้พับพกพา เก้าอี้ชายหา,฿193,ขายแล้ว 17.8พัน ชิ้น
4,(1แถม1) เซรั่มปรางทิพย์ โลชั่นปรางทิพย์ ราริต้า Larrita Whitening Booster Serum ขนาด 320 ml.,฿180,ขายแล้ว 2.3พัน ชิ้น
5,พร้อมส่งจากไทย 🍒แก้วเก็บความเย็น TYESO แก้วเก็บความเย็น 30ozแก้วเก็บความเย็น เเก้วเก็บความเย็น  สแตนเลสแท้ （526）,฿149,ขายแล้ว 2.4พัน ชิ้น
6,Kemei รุ่น KM-418 ปัตตาเลี่ยนไร้สาย โกนหนวด ตัดผม ขนาดพอดีมือ,฿159,ขายแล้ว 4.2พัน ชิ้น
7,มาม่า บะหมี่กึ่งสําเร็จรูป x 30 ซอง (ยกลัง),฿220,ขายแล้ว 5.1พัน ชิ้น
8,[ 🔥 โค้ด BDTOO30 ลด 30 บาท  ] Ozoopu กาต้มน้ำไฟฟ้าสแตนเลส 2 ลิตร กาต้มน้ำไฟฟ้า กาต้มน้ำ กาน้ำร้อน กาต้มน้ำฝาพลาสติก,฿119,ขายแล้ว 7.4พัน ชิ้น
9,[ลูกค้าใหม่1฿]HAN RIVER HRHD01BK ไดร์เป่าผม ขนาดพกพา 2200W ปรับลมได้ 3 ระดับ ผมแห้งไว ไม่ทำลายเส้นผม,฿179,ขายแล้ว 29.2พัน ชิ้น
10,Sunsilk Co-creation แชมพูซันซิล แพ็คคู่ (แชมพู+แชมพู) ขนาด 350 มล.,฿159,ขายแล้ว 1.7พัน ชิ้น
11,ลูกค้าใหม่ 1.- กระดาษทิชชู่ ห่อยาว กระดาษทิชชู่แกะ 1 หิ้ว 10 ห่อ(ยกแพค) ห่อละ 240 แผ่น งานหนา 3 ชั้น ทิชชู่เช็ดหน้า,฿88,ขายแล้ว 8.9พัน ชิ้น
12,Silicone Anti-shock Wireless Earphone Full Protective Cover Case for Air-pods 1 2,฿1,ขายแล้ว 9.1พัน ชิ้น
13,SMARTHOME เตารีดไฟฟ้าแบบแห้ง รุ่น SDIR-009,฿219,ขายแล้ว 1.2พัน ชิ้น
14,แท้💯% Cosmic hair remover คอสมิค มูสกำจัดขนคอสมิค ขนาด 100ml.,฿179,ขายแล้ว 17.3พัน ชิ้น
15,ชั้นวางรองเท้า (XM1) ชั้นอเนกประสงค์ 4 ชั้น  ชั้นวางรองเท้า ราวตากผ้าพร้อมชั้นวางของอเนกประสงค์ *พร้อมส่ง*,฿199,ขายแล้ว 754 ชิ้น
16,[ใส่โค้ดSM9945 ลด45] ขั้นต่ำ300  22cm หม้อไฟฟ้า หม้ออเนกประสงค์ หม้อชาบู หม้อสแตนเลส พร้อมซึ้งพลาสติก,฿140,ขายแล้ว 2.4พัน ชิ้น
17,สระเป่าลมสำหรับเด็ก สระเป่าลมสำหรับเด็ก สระว่ายน้ำมีฟังก์ชั่นกันลื่น สระโอเชี่ยนบอล หนา 90/120/150 ซม. แหวนว่ายน้ำเด็ก.,฿98,ขายแล้ว 468 ชิ้น
